Area,Measure,ANZSIC06,Year,Value,Flags
"Upper Hutt City","Employee Count","A Agriculture, Forestry and Fishing","2009",55,
"Upper Hutt City","Geographic Units","A Agriculture, Forestry and Fishing","2009",144,
"Porirua City","Geographic Units","A Agriculture, Forestry and Fishing","2009",108,
"Porirua City","Employee Count","A Agriculture, Forestry and Fishing","2009",55,
"Kapiti Coast District","Employee Count","B Mining","2009",12,
"Kapiti Coast District","Employee Count","A Agriculture, Forestry and Fishing","2009",330,
"Kapiti Coast District","Geographic Units","A Agriculture, Forestry and Fishing","2009",351,
"Kapiti Coast District","Geographic Units","B Mining","2009",9,
"Horowhenua District","Geographic Units","B Mining","2009",0,
"Horowhenua District","Geographic Units","A Agriculture, Forestry and Fishing","2009",723,
"Horowhenua District","Employee Count","A Agriculture, Forestry and Fishing","2009",1350,
"Horowhenua District","Employee Count","B Mining","2009",3,
"Tararua District","Employee Count","B Mining","2009",12,
"Tararua District","Employee Count","A Agriculture, Forestry and Fishing","2009",1800,
"Tararua District","Geographic Units","A Agriculture, Forestry and Fishing","2009",1452,
"Tararua District","Geographic Units","B Mining","2009",6,
"Palmerston North City","Geographic Units","B Mining","2009",9,
"Palmerston North City","Employee Count","A Agriculture, Forestry and Fishing","2009",510,
"Palmerston North City","Employee Count","B Mining","2009",15,
"Manawatu District","Employee Count","B Mining","2009",0,
"Manawatu District","Geographic Units","B Mining","2009",0,
"Rangitikei District","Geographic Units","B Mining","2009",6,
"Rangitikei District","Employee Count","B Mining","2009",35,
"Ruapehu District","Geographic Units","B Mining","2009",0,
"Ruapehu District","Employee Count","B Mining","2009",9,
"South Taranaki District","Employee Count","B Mining","2009",200,
"South Taranaki District","Geographic Units","B Mining","2009",12,
"Stratford District","Geographic Units","B Mining","2009",6,
"Stratford District","Employee Count","B Mining","2009",3,
"New Plymouth District","Employee Count","B Mining","2009",740,
"New Plymouth District","Geographic Units","B Mining","2009",75,
"Central Hawke's Bay District","Geographic Units","B Mining","2009",6,
"Central Hawke's Bay District","Employee Count","B Mining","2009",55,
"Napier City","Employee Count","B Mining","2009",9,
"Napier City","Geographic Units","B Mining","2009",3,
"Hastings District","Geographic Units","B Mining","2009",3,
"Hastings District","Employee Count","B Mining","2009",18,
"Wairoa District","Employee Count","B Mining","2009",6,
"Wairoa District","Geographic Units","B Mining","2009",3,
"Gisborne District","Geographic Units","B Mining","2009",6,
"Gisborne District","Employee Count","B Mining","2009",25,
"Whakatane District","Employee Count","B Mining","2009",12,
"Whakatane District","Geographic Units","B Mining","2009",6,
"Whakatane District","Geographic Units","B Mining","2010",6,
"Whakatane District","Employee Count","B Mining","2010",9,
"Gisborne District","Employee Count","B Mining","2010",25,
"Gisborne District","Geographic Units","B Mining","2010",6,
"Wairoa District","Geographic Units","B Mining","2010",3,
"Wairoa District","Employee Count","B Mining","2010",3,
"Hastings District","Employee Count","B Mining","2010",21,
"Hastings District","Geographic Units","B Mining","2010",6,
"Napier City","Geographic Units","B Mining","2010",6,
"Napier City","Employee Count","B Mining","2010",12,
"Central Hawke's Bay District","Employee Count","B Mining","2010",50,
"Central Hawke's Bay District","Geographic Units","B Mining","2010",6,
"New Plymouth District","Geographic Units","B Mining","2010",93,
"New Plymouth District","Employee Count","B Mining","2010",810,
"Stratford District","Employee Count","B Mining","2010",3,
"Stratford District","Geographic Units","B Mining","2010",0,
"South Taranaki District","Geographic Units","B Mining","2010",12,
"South Taranaki District","Employee Count","B Mining","2010",200,
"Ruapehu District","Employee Count","B Mining","2010",9,
"Ruapehu District","Geographic Units","B Mining","2010",0,
"Rangitikei District","Employee Count","B Mining","2010",40,
"Rangitikei District","Geographic Units","B Mining","2010",6,
"Whanganui District","Employee Count","B Mining","2010",0,
"Whanganui District","Geographic Units","B Mining","2010",0,
"Manawatu District","Geographic Units","B Mining","2010",6,
"Manawatu District","Employee Count","B Mining","2010",3,
"Palmerston North City","Employee Count","B Mining","2010",15,
"Palmerston North City","Employee Count","A Agriculture, Forestry and Fishing","2010",550,
"Palmerston North City","Geographic Units","B Mining","2010",12,
"Tararua District","Geographic Units","B Mining","2010",9,
"Tararua District","Geographic Units","A Agriculture, Forestry and Fishing","2010",1449,
"Tararua District","Employee Count","A Agriculture, Forestry and Fishing","2010",1900,
"Tararua District","Employee Count","B Mining","2010",9,
"Horowhenua District","Employee Count","B Mining","2010",3,
"Horowhenua District","Employee Count","A Agriculture, Forestry and Fishing","2010",1250,
"Horowhenua District","Geographic Units","A Agriculture, Forestry and Fishing","2010",711,
"Horowhenua District","Geographic Units","B Mining","2010",0,
"Kapiti Coast District","Geographic Units","B Mining","2010",12,
"Kapiti Coast District","Geographic Units","A Agriculture, Forestry and Fishing","2010",327,
"Kapiti Coast District","Employee Count","A Agriculture, Forestry and Fishing","2010",340,
"Kapiti Coast District","Employee Count","B Mining","2010",15,
"Porirua City","Employee Count","A Agriculture, Forestry and Fishing","2010",65,
"Porirua City","Geographic Units","A Agriculture, Forestry and Fishing","2010",105,
"Upper Hutt City","Geographic Units","A Agriculture, Forestry and Fishing","2010",144,
"Upper Hutt City","Employee Count","A Agriculture, Forestry and Fishing","2010",70,
"Lower Hutt City","Employee Count","A Agriculture, Forestry and Fishing","2010",35,
"Lower Hutt City","Geographic Units","A Agriculture, Forestry and Fishing","2010",60,
"Lower Hutt City","Employee Count","B Mining","2010",40,
"Lower Hutt City","Geographic Units","B Mining","2010",9,
"Wellington City","Geographic Units","B Mining","2010",54,
"Wellington City","Employee Count","B Mining","2010",130,
"Wellington City","Geographic Units","A Agriculture, Forestry and Fishing","2010",141,
"Wellington City","Employee Count","A Agriculture, Forestry and Fishing","2010",160,
"Masterton District","Employee Count","A Agriculture, Forestry and Fishing","2010",1100,
"Masterton District","Geographic Units","A Agriculture, Forestry and Fishing","2010",801,
"Masterton District","Employee Count","B Mining","2010",15,
"Masterton District","Geographic Units","B Mining","2010",3,
"Carterton District","Geographic Units","B Mining","2010",3,
"Carterton District","Employee Count","B Mining","2010",6,
"Carterton District","Geographic Units","A Agriculture, Forestry and Fishing","2010",429,
"Carterton District","Employee Count","A Agriculture, Forestry and Fishing","2010",590,
"South Wairarapa District","Employee Count","A Agriculture, Forestry and Fishing","2010",860,
"South Wairarapa District","Geographic Units","A Agriculture, Forestry and Fishing","2010",549,
"South Wairarapa District","Employee Count","B Mining","2010",3,
"South Wairarapa District","Geographic Units","B Mining","2010",0,
"Tasman District","Geographic Units","B Mining","2010",18,
"Tasman District","Employee Count","B Mining","2010",60,
"Tasman District","Geographic Units","A Agriculture, Forestry and Fishing","2010",1992,
"Tasman District","Employee Count","A Agriculture, Forestry and Fishing","2010",4550,
"Nelson City","Employee Count","A Agriculture, Forestry and Fishing","2010",960,
"Nelson City","Geographic Units","A Agriculture, Forestry and Fishing","2010",276,
"Nelson City","Employee Count","B Mining","2010",3,
"Nelson City","Geographic Units","B Mining","2010",0,
"Marlborough District","Geographic Units","B Mining","2010",6,
"Marlborough District","Employee Count","B Mining","2010",60,
"Marlborough District","Geographic Units","A Agriculture, Forestry and Fishing","2010",2250,
"Marlborough District","Employee Count","A Agriculture, Forestry and Fishing","2010",4050,
"Kaikoura District","Employee Count","A Agriculture, Forestry and Fishing","2010",200,
"Kaikoura District","Geographic Units","A Agriculture, Forestry and Fishing","2010",210,
"Kaikoura District","Employee Count","B Mining","2010",3,
"Kaikoura District","Geographic Units","B Mining","2010",3,
"Buller District","Geographic Units","B Mining","2010",27,
"Buller District","Employee Count","B Mining","2010",980,
"Buller District","Geographic Units","A Agriculture, Forestry and Fishing","2010",342,
"Buller District","Employee Count","A Agriculture, Forestry and Fishing","2010",470,
"Grey District","Employee Count","A Agriculture, Forestry and Fishing","2010",420,
"Grey District","Geographic Units","A Agriculture, Forestry and Fishing","2010",291,
"Grey District","Employee Count","B Mining","2010",370,
"Grey District","Geographic Units","B Mining","2010",30,
"Westland District","Geographic Units","B Mining","2010",12,
"Westland District","Employee Count","B Mining","2010",40,
"Westland District","Geographic Units","A Agriculture, Forestry and Fishing","2010",411,
"Westland District","Employee Count","A Agriculture, Forestry and Fishing","2010",390,
"Hurunui District","Employee Count","A Agriculture, Forestry and Fishing","2010",1600,
"Hurunui District","Geographic Units","A Agriculture, Forestry and Fishing","2010",1221,
"Hurunui District","Employee Count","B Mining","2010",9,
"Hurunui District","Geographic Units","B Mining","2010",3,
"Waimakariri District","Geographic Units","B Mining","2010",6,
"Waimakariri District","Employee Count","B Mining","2010",9,
"Waimakariri District","Geographic Units","A Agriculture, Forestry and Fishing","2010",1953,
"Waimakariri District","Employee Count","A Agriculture, Forestry and Fishing","2010",1050,
"Christchurch City","Employee Count","A Agriculture, Forestry and Fishing","2010",1700,
"Christchurch City","Geographic Units","A Agriculture, Forestry and Fishing","2010",1155,
"Christchurch City","Employee Count","B Mining","2010",190,
"Christchurch City","Geographic Units","B Mining","2010",33,
"Selwyn District","Geographic Units","B Mining","2010",9,
"Selwyn District","Employee Count","B Mining","2010",30,
"Selwyn District","Geographic Units","A Agriculture, Forestry and Fishing","2010",2283,
"Selwyn District","Employee Count","A Agriculture, Forestry and Fishing","2010",2550,
"Ashburton District","Employee Count","A Agriculture, Forestry and Fishing","2010",3000,
"Ashburton District","Geographic Units","A Agriculture, Forestry and Fishing","2010",1836,
"Ashburton District","Employee Count","B Mining","2010",9,
"Ashburton District","Geographic Units","B Mining","2010",3,
"Timaru District","Geographic Units","B Mining","2010",12,
"Timaru District","Employee Count","B Mining","2010",30,
"Timaru District","Geographic Units","A Agriculture, Forestry and Fishing","2010",1275,
"Timaru District","Employee Count","A Agriculture, Forestry and Fishing","2010",1850,
"Mackenzie District","Employee Count","A Agriculture, Forestry and Fishing","2010",380,
"Mackenzie District","Geographic Units","A Agriculture, Forestry and Fishing","2010",339,
"Waimate District","Geographic Units","A Agriculture, Forestry and Fishing","2010",654,
"Waimate District","Employee Count","A Agriculture, Forestry and Fishing","2010",980,
"Chatham Islands Territory","Employee Count","A Agriculture, Forestry and Fishing","2010",90,
"Chatham Islands Territory","Geographic Units","A Agriculture, Forestry and Fishing","2010",105,
"Waitaki District","Geographic Units","A Agriculture, Forestry and Fishing","2010",1032,
"Waitaki District","Employee Count","B Mining","2010",350,
"Waitaki District","Geographic Units","B Mining","2010",6,
"Waitaki District","Employee Count","A Agriculture, Forestry and Fishing","2010",1300,
"Central Otago District","Employee Count","A Agriculture, Forestry and Fishing","2010",2950,
"Central Otago District","Geographic Units","B Mining","2010",6,
"Central Otago District","Employee Count","B Mining","2010",21,
"Central Otago District","Geographic Units","A Agriculture, Forestry and Fishing","2010",960,
"Queenstown-Lakes District","Geographic Units","A Agriculture, Forestry and Fishing","2010",309,
"Queenstown-Lakes District","Employee Count","B Mining","2010",15,
"Queenstown-Lakes District","Geographic Units","B Mining","2010",12,
"Queenstown-Lakes District","Employee Count","A Agriculture, Forestry and Fishing","2010",420,
"Dunedin City","Employee Count","A Agriculture, Forestry and Fishing","2010",850,
"Dunedin City","Geographic Units","B Mining","2010",12,
"Dunedin City","Employee Count","B Mining","2010",130,
"Dunedin City","Geographic Units","A Agriculture, Forestry and Fishing","2010",978,
"Clutha District","Geographic Units","A Agriculture, Forestry and Fishing","2010",1575,
"Clutha District","Employee Count","B Mining","2010",40,
"Clutha District","Geographic Units","B Mining","2010",6,
"Clutha District","Employee Count","A Agriculture, Forestry and Fishing","2010",3000,
"Southland District","Employee Count","A Agriculture, Forestry and Fishing","2010",5900,
"Southland District","Geographic Units","B Mining","2010",9,
"Southland District","Employee Count","B Mining","2010",75,
"Southland District","Geographic Units","A Agriculture, Forestry and Fishing","2010",3690,
"Gore District","Geographic Units","A Agriculture, Forestry and Fishing","2010",741,
"Gore District","Employee Count","B Mining","2010",40,
"Gore District","Geographic Units","B Mining","2010",6,
"Gore District","Employee Count","A Agriculture, Forestry and Fishing","2010",1150,
"Invercargill City","Employee Count","A Agriculture, Forestry and Fishing","2010",560,
"Invercargill City","Geographic Units","B Mining","2010",6,
"Invercargill City","Employee Count","B Mining","2010",25,
"Invercargill City","Geographic Units","A Agriculture, Forestry and Fishing","2010",510,
"Area Outside Territorial Authority","Geographic Units","A Agriculture, Forestry and Fishing","2010",6,
"Area Outside Territorial Authority","Employee Count","A Agriculture, Forestry and Fishing","2010",9,
"Total New Zealand (Territorial Authority)","Geographic Units","C Manufacturing","2010",22863,
"Total New Zealand (Territorial Authority)","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",1404,
"Total New Zealand (Territorial Authority)","Employee Count","D Electricity, Gas, Water and Waste Services","2010",12200,
"Far North District","Employee Count","D Electricity, Gas, Water and Waste Services","2010",280,
"Far North District","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",27,
"Far North District","Geographic Units","C Manufacturing","2010",255,
"Whangarei District","Geographic Units","C Manufacturing","2010",426,
"Whangarei District","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",24,
"Whangarei District","Employee Count","D Electricity, Gas, Water and Waste Services","2010",390,
"Kaipara District","Employee Count","D Electricity, Gas, Water and Waste Services","2010",45,
"Kaipara District","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",6,
"Kaipara District","Geographic Units","C Manufacturing","2010",111,
"Auckland","Geographic Units","C Manufacturing","2010",7995,
"Auckland","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",315,
"Auckland","Employee Count","D Electricity, Gas, Water and Waste Services","2010",3300,
"Thames-Coromandel District","Employee Count","D Electricity, Gas, Water and Waste Services","2010",45,
"Thames-Coromandel District","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",15,
"Thames-Coromandel District","Geographic Units","C Manufacturing","2010",201,
"Hauraki District","Geographic Units","C Manufacturing","2010",108,
"Hauraki District","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",12,
"Hauraki District","Employee Count","D Electricity, Gas, Water and Waste Services","2010",21,
"Waikato District","Employee Count","D Electricity, Gas, Water and Waste Services","2010",350,
"Waikato District","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",27,
"Waikato District","Geographic Units","C Manufacturing","2010",297,
"Matamata-Piako District","Geographic Units","C Manufacturing","2010",177,
"Matamata-Piako District","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",9,
"Matamata-Piako District","Employee Count","D Electricity, Gas, Water and Waste Services","2010",18,
"Hamilton City","Employee Count","D Electricity, Gas, Water and Waste Services","2010",560,
"Hamilton City","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",36,
"Hamilton City","Geographic Units","C Manufacturing","2010",744,
"Waipa District","Geographic Units","C Manufacturing","2010",261,
"Waipa District","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",27,
"Waipa District","Employee Count","D Electricity, Gas, Water and Waste Services","2010",120,
"Otorohanga District","Employee Count","D Electricity, Gas, Water and Waste Services","2010",25,
"Otorohanga District","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",3,
"Otorohanga District","Geographic Units","C Manufacturing","2010",36,
"South Waikato District","Geographic Units","C Manufacturing","2010",102,
"South Waikato District","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",12,
"South Waikato District","Employee Count","D Electricity, Gas, Water and Waste Services","2010",21,
"Waitomo District","Employee Count","D Electricity, Gas, Water and Waste Services","2010",85,
"Waitomo District","Geographic Units","D Electricity, Gas, Water and Waste Services","2010",6,
"Waitomo District","Geographic Units","C Manufacturing","2010",24,
"Waitomo District","Geographic Units","C Manufacturing","2011",27,
"Mackenzie District","Geographic Units","B Mining","2011",0,
"Mackenzie District","Employee Count","B Mining","2011",0,
"Waitomo District","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",6,
"Waitomo District","Employee Count","D Electricity, Gas, Water and Waste Services","2011",90,
"South Waikato District","Employee Count","D Electricity, Gas, Water and Waste Services","2011",25,
"South Waikato District","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",12,
"South Waikato District","Geographic Units","C Manufacturing","2011",102,
"Otorohanga District","Geographic Units","C Manufacturing","2011",33,
"Otorohanga District","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",3,
"Otorohanga District","Employee Count","D Electricity, Gas, Water and Waste Services","2011",15,
"Waipa District","Employee Count","D Electricity, Gas, Water and Waste Services","2011",130,
"Waipa District","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",24,
"Waipa District","Geographic Units","C Manufacturing","2011",246,
"Hamilton City","Geographic Units","C Manufacturing","2011",741,
"Hamilton City","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",33,
"Hamilton City","Employee Count","D Electricity, Gas, Water and Waste Services","2011",690,
"Matamata-Piako District","Employee Count","D Electricity, Gas, Water and Waste Services","2011",40,
"Matamata-Piako District","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",9,
"Matamata-Piako District","Geographic Units","C Manufacturing","2011",180,
"Waikato District","Geographic Units","C Manufacturing","2011",294,
"Waikato District","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",33,
"Waikato District","Employee Count","D Electricity, Gas, Water and Waste Services","2011",510,
"Hauraki District","Employee Count","D Electricity, Gas, Water and Waste Services","2011",18,
"Hauraki District","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",15,
"Hauraki District","Geographic Units","C Manufacturing","2011",111,
"Thames-Coromandel District","Geographic Units","C Manufacturing","2011",192,
"Thames-Coromandel District","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",12,
"Thames-Coromandel District","Employee Count","D Electricity, Gas, Water and Waste Services","2011",45,
"Auckland","Employee Count","D Electricity, Gas, Water and Waste Services","2011",3700,
"Auckland","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",330,
"Auckland","Geographic Units","C Manufacturing","2011",7920,
"Kaipara District","Geographic Units","C Manufacturing","2011",108,
"Kaipara District","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",3,
"Kaipara District","Employee Count","D Electricity, Gas, Water and Waste Services","2011",40,
"Whangarei District","Employee Count","D Electricity, Gas, Water and Waste Services","2011",340,
"Whangarei District","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",27,
"Whangarei District","Geographic Units","C Manufacturing","2011",411,
"Far North District","Geographic Units","C Manufacturing","2011",249,
"Far North District","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",27,
"Far North District","Employee Count","D Electricity, Gas, Water and Waste Services","2011",340,
"Total New Zealand (Territorial Authority)","Employee Count","D Electricity, Gas, Water and Waste Services","2011",13100,
"Total New Zealand (Territorial Authority)","Geographic Units","D Electricity, Gas, Water and Waste Services","2011",1428,
"Total New Zealand (Territorial Authority)","Geographic Units","C Manufacturing","2011",22497,
"Area Outside Territorial Authority","Employee Count","A Agriculture, Forestry and Fishing","2011",12,
"Area Outside Territorial Authority","Geographic Units","A Agriculture, Forestry and Fishing","2011",6,
"Invercargill City","Geographic Units","A Agriculture, Forestry and Fishing","2011",501,
"Invercargill City","Employee Count","B Mining","2011",30,
"Invercargill City","Geographic Units","B Mining","2011",6,
"Invercargill City","Employee Count","A Agriculture, Forestry and Fishing","2011",570,
"Gore District","Employee Count","A Agriculture, Forestry and Fishing","2011",1150,
"Gore District","Geographic Units","B Mining","2011",6,
"Gore District","Employee Count","B Mining","2011",55,
"Gore District","Geographic Units","A Agriculture, Forestry and Fishing","2011",726,
"Southland District","Geographic Units","A Agriculture, Forestry and Fishing","2011",3591,
"Southland District","Employee Count","B Mining","2011",80,
"Southland District","Geographic Units","B Mining","2011",12,
"Southland District","Employee Count","A Agriculture, Forestry and Fishing","2011",6000,
"Clutha District","Employee Count","A Agriculture, Forestry and Fishing","2011",3100,
"Clutha District","Geographic Units","B Mining","2011",3,
"Clutha District","Employee Count","B Mining","2011",30,
"Clutha District","Geographic Units","A Agriculture, Forestry and Fishing","2011",1545,
"Dunedin City","Geographic Units","A Agriculture, Forestry and Fishing","2011",945,
"Dunedin City","Employee Count","B Mining","2011",55,
"Dunedin City","Geographic Units","B Mining","2011",12,
"Dunedin City","Employee Count","A Agriculture, Forestry and Fishing","2011",960,
"Queenstown-Lakes District","Employee Count","A Agriculture, Forestry and Fishing","2011",410,
"Queenstown-Lakes District","Geographic Units","B Mining","2011",12,
"Queenstown-Lakes District","Employee Count","B Mining","2011",9,
"Queenstown-Lakes District","Geographic Units","A Agriculture, Forestry and Fishing","2011",312,
"Central Otago District","Geographic Units","A Agriculture, Forestry and Fishing","2011",948,
"Central Otago District","Employee Count","B Mining","2011",30,
"Central Otago District","Geographic Units","B Mining","2011",9,
"Central Otago District","Employee Count","A Agriculture, Forestry and Fishing","2011",3200,
"Waitaki District","Employee Count","A Agriculture, Forestry and Fishing","2011",1300,
"Waitaki District","Geographic Units","B Mining","2011",6,
"Waitaki District","Employee Count","B Mining","2011",460,
"Waitaki District","Geographic Units","A Agriculture, Forestry and Fishing","2011",1011,
"Chatham Islands Territory","Geographic Units","A Agriculture, Forestry and Fishing","2011",99,
"Chatham Islands Territory","Employee Count","A Agriculture, Forestry and Fishing","2011",55,
"Waimate District","Employee Count","A Agriculture, Forestry and Fishing","2011",1050,
"Waimate District","Geographic Units","A Agriculture, Forestry and Fishing","2011",669,
"Mackenzie District","Geographic Units","A Agriculture, Forestry and Fishing","2011",336,
"Mackenzie District","Employee Count","A Agriculture, Forestry and Fishing","2011",420,
"Timaru District","Employee Count","A Agriculture, Forestry and Fishing","2011",1850,
"Timaru District","Geographic Units","A Agriculture, Forestry and Fishing","2011",1263,
"Timaru District","Employee Count","B Mining","2011",30,
"Timaru District","Geographic Units","B Mining","2011",9,
"Ashburton District","Geographic Units","B Mining","2011",3,
"Ashburton District","Employee Count","B Mining","2011",9,
"Ashburton District","Geographic Units","A Agriculture, Forestry and Fishing","2011",1836,
"Ashburton District","Employee Count","A Agriculture, Forestry and Fishing","2011",3150,
"Selwyn District","Employee Count","A Agriculture, Forestry and Fishing","2011",2550,
"Selwyn District","Geographic Units","A Agriculture, Forestry and Fishing","2011",2238,
"Selwyn District","Employee Count","B Mining","2011",30,
"Selwyn District","Geographic Units","B Mining","2011",9,
"Christchurch City","Geographic Units","B Mining","2011",39,
"Christchurch City","Employee Count","B Mining","2011",290,
"Christchurch City","Geographic Units","A Agriculture, Forestry and Fishing","2011",1155,
"Christchurch City","Employee Count","A Agriculture, Forestry and Fishing","2011",1550,
"Waimakariri District","Employee Count","A Agriculture, Forestry and Fishing","2011",1050,
"Waimakariri District","Geographic Units","A Agriculture, Forestry and Fishing","2011",1917,
"Waimakariri District","Employee Count","B Mining","2011",9,
"Waimakariri District","Geographic Units","B Mining","2011",6,
"Hurunui District","Geographic Units","B Mining","2011",3,
"Hurunui District","Employee Count","B Mining","2011",6,
"Hurunui District","Geographic Units","A Agriculture, Forestry and Fishing","2011",1206,
"Hurunui District","Employee Count","A Agriculture, Forestry and Fishing","2011",1600,
"Westland District","Employee Count","A Agriculture, Forestry and Fishing","2011",390,
"Westland District","Geographic Units","A Agriculture, Forestry and Fishing","2011",390,
"Westland District","Employee Count","B Mining","2011",50,
"Westland District","Geographic Units","B Mining","2011",18,
"Grey District","Geographic Units","B Mining","2011",36,
"Grey District","Employee Count","B Mining","2011",350,
"Grey District","Geographic Units","A Agriculture, Forestry and Fishing","2011",279,
"Grey District","Employee Count","A Agriculture, Forestry and Fishing","2011",390,
"Buller District","Employee Count","A Agriculture, Forestry and Fishing","2011",490,
"Buller District","Geographic Units","A Agriculture, Forestry and Fishing","2011",348,
"Buller District","Employee Count","B Mining","2011",1100,
"Buller District","Geographic Units","B Mining","2011",30,
"Kaikoura District","Geographic Units","B Mining","2011",3,
"Kaikoura District","Employee Count","B Mining","2011",3,
"Kaikoura District","Geographic Units","A Agriculture, Forestry and Fishing","2011",210,
"Kaikoura District","Employee Count","A Agriculture, Forestry and Fishing","2011",180,
"Marlborough District","Employee Count","A Agriculture, Forestry and Fishing","2011",3950,
"Marlborough District","Geographic Units","A Agriculture, Forestry and Fishing","2011",2208,
"Marlborough District","Employee Count","B Mining","2011",60,
"Marlborough District","Geographic Units","B Mining","2011",6,
"Nelson City","Geographic Units","B Mining","2011",6,
"Nelson City","Employee Count","B Mining","2011",3,
"Nelson City","Geographic Units","A Agriculture, Forestry and Fishing","2011",285,
"Nelson City","Employee Count","A Agriculture, Forestry and Fishing","2011",1100,
"Tasman District","Employee Count","A Agriculture, Forestry and Fishing","2011",4950,
"Tasman District","Geographic Units","A Agriculture, Forestry and Fishing","2011",1962,
"Tasman District","Employee Count","B Mining","2011",60,
"Tasman District","Geographic Units","B Mining","2011",21,
"South Wairarapa District","Geographic Units","B Mining","2011",0,
"South Wairarapa District","Employee Count","B Mining","2011",6,
"South Wairarapa District","Geographic Units","A Agriculture, Forestry and Fishing","2011",531,
"South Wairarapa District","Employee Count","A Agriculture, Forestry and Fishing","2011",900,
"Carterton District","Employee Count","A Agriculture, Forestry and Fishing","2011",550,
"Carterton District","Geographic Units","A Agriculture, Forestry and Fishing","2011",417,
"Carterton District","Employee Count","B Mining","2011",6,
"Carterton District","Geographic Units","B Mining","2011",3,
"Masterton District","Geographic Units","B Mining","2011",3,
"Masterton District","Employee Count","B Mining","2011",15,
"Masterton District","Geographic Units","A Agriculture, Forestry and Fishing","2011",804,
"Masterton District","Employee Count","A Agriculture, Forestry and Fishing","2011",1150,
"Wellington City","Employee Count","A Agriculture, Forestry and Fishing","2011",130,
"Wellington City","Geographic Units","A Agriculture, Forestry and Fishing","2011",150,
"Wellington City","Employee Count","B Mining","2011",130,
"Wellington City","Geographic Units","B Mining","2011",57,
"Lower Hutt City","Geographic Units","B Mining","2011",9,
"Lower Hutt City","Employee Count","B Mining","2011",45,
"Lower Hutt City","Geographic Units","A Agriculture, Forestry and Fishing","2011",69,
"Lower Hutt City","Employee Count","A Agriculture, Forestry and Fishing","2011",40,
"Upper Hutt City","Employee Count","A Agriculture, Forestry and Fishing","2011",75,
"Upper Hutt City","Geographic Units","A Agriculture, Forestry and Fishing","2011",138,
"Porirua City","Geographic Units","A Agriculture, Forestry and Fishing","2011",96,
"Porirua City","Employee Count","A Agriculture, Forestry and Fishing","2011",55,
"Kapiti Coast District","Employee Count","B Mining","2011",15,
"Kapiti Coast District","Employee Count","A Agriculture, Forestry and Fishing","2011",330,
"Kapiti Coast District","Geographic Units","A Agriculture, Forestry and Fishing","2011",315,
"Kapiti Coast District","Geographic Units","B Mining","2011",9,
"Horowhenua District","Geographic Units","B Mining","2011",0,
"Horowhenua District","Geographic Units","A Agriculture, Forestry and Fishing","2011",702,
"Horowhenua District","Employee Count","A Agriculture, Forestry and Fishing","2011",1300,
"Horowhenua District","Employee Count","B Mining","2011",0,
"Tararua District","Employee Count","B Mining","2011",12,
"Tararua District","Employee Count","A Agriculture, Forestry and Fishing","2011",1800,
"Tararua District","Geographic Units","A Agriculture, Forestry and Fishing","2011",1422,
"Tararua District","Geographic Units","B Mining","2011",6,
"Palmerston North City","Geographic Units","B Mining","2011",9,
"Palmerston North City","Employee Count","A Agriculture, Forestry and Fishing","2011",510,
"Palmerston North City","Employee Count","B Mining","2011",35,
"Manawatu District","Employee Count","B Mining","2011",6,
"Manawatu District","Geographic Units","B Mining","2011",6,
"Whanganui District","Geographic Units","B Mining","2011",0,
"Whanganui District","Employee Count","B Mining","2011",0,
"Rangitikei District","Geographic Units","B Mining","2011",6,
"Rangitikei District","Employee Count","B Mining","2011",40,
"Ruapehu District","Geographic Units","B Mining","2011",6,
"Ruapehu District","Employee Count","B Mining","2011",12,
"South Taranaki District","Employee Count","B Mining","2011",140,
"South Taranaki District","Geographic Units","B Mining","2011",12,
"Stratford District","Geographic Units","B Mining","2011",3,
"Stratford District","Employee Count","B Mining","2011",3,
"New Plymouth District","Employee Count","B Mining","2011",640,
"New Plymouth District","Geographic Units","B Mining","2011",105,
"Central Hawke's Bay District","Geographic Units","B Mining","2011",6,
